,time,V
0,2,-0.1242824
1,2,-0.1242824
2,2,-0.03698368
3,2,0.1195519
4,2,0.05332531
5,2,-0.06106608
6,2,0.008170814
7,8,3.256284
8,8,3.337563
9,8,3.253274
10,8,3.178017
11,8,3.175006
12,8,3.120821
13,8,3.135872
14,24,5.047413
15,24,4.951083
16,24,4.930011
17,24,4.833682
18,24,4.890877
19,24,4.81562
20,24,4.824651
21,48,4.237642
22,48,4.61694
23,48,4.580816
24,48,4.641023
25,48,4.502549
26,48,4.403209
27,48,4.544693
