,time,V
0,2,-0.08901887
1,2,-0.03784377
2,2,-0.1221322
3,2,0.1427742
4,2,0.01032103
5,2,0.08557852
6,2,0.01032103
7,8,2.123552
8,8,1.912831
9,8,1.982067
10,8,2.00615
11,8,2.012171
12,8,1.988088
13,8,2.069366
14,24,3.995958
15,24,3.525491
16,24,3.809319
17,24,3.983917
18,24,4.041113
19,24,3.800289
20,24,3.893608
21,48,3.971876
22,48,4.098309
23,48,4.086267
24,48,4.122391
25,48,3.974886
26,48,3.926721
27,48,3.992948
