,time,V
0,2,0.01161116
1,2,0.07783776
2,2,-0.05160514
3,2,0.08987895
4,2,0.07783776
5,2,-0.1419141
6,2,-0.06364634
7,8,0.4541253
8,8,-0.1088008
9,8,-0.1720171
10,8,0.2765175
11,8,0.360806
12,8,0.3547854
13,8,-0.1449244
14,24,2.449954
15,24,2.173007
16,24,2.242244
17,24,2.359645
18,24,2.182037
19,24,2.236223
20,24,2.365666
21,48,2.892468
22,48,2.71486
23,48,2.71185
24,48,2.970736
25,48,2.790118
26,48,2.940633
27,48,2.925581
