,time,V
0,2,-0.03526351
1,2,0.1483648
2,2,0.08213819
3,2,-0.002150214
4,2,0.009890986
5,2,0.03698368
6,2,-0.2399639
7,8,0.1002
8,8,0.723332
9,8,-0.08041801
10,8,0.2657665
11,8,0.02494249
12,8,0.5005699
13,8,-0.3332832
14,24,2.457265
15,24,2.514461
16,24,2.484358
17,24,2.598749
18,24,2.767326
19,24,2.899779
20,24,2.725182
21,48,3.242953
22,48,3.101469
23,48,3.598169
24,48,3.685467
25,48,3.474746
26,48,3.363365
27,48,3.504849
